q,tau,delta,AUC_R,AUC_N,Dose,rho_T,S_T,R_T,N_T,A_max,J_N,J_R,J_D,J
0.0,1.0,0.1,406520.5813917248,1412600199.1085737,0.0,0.00024735601735594866,816384976.6648831,201987.69932991575,816586964.3642131,0.0,0.14126001991085735,1.1614873754049281e-05,0.0,0.1412716347846114
0.25,1.0,0.1,406846.9842523056,1410880205.552311,0.175,0.00024792414523729615,815816901.8113691,202310.86580019855,816019212.6771692,0.022727351725991208,0.14108802055523106,1.1624199550065874e-05,0.00020833333333333332,0.14130797808811446
0.5,1.0,0.1,407825.6568201462,1405731771.888017,0.35,0.00024963475073760884,814111860.1950302,203281.35738329738,814315141.5524135,0.045454641330768764,0.1405731771888017,1.165216162343275e-05,0.00041666666666666664,0.1410014960170918
0.75,1.0,0.1,409454.7425824379,1397186856.3200386,0.5249999999999999,0.00025250689090794686,811266909.308906,204902.22418966139,811471811.5330956,0.0681820089730979,0.13971868563200385,1.1698706930926797e-05,0.0006249999999999999,0.14035538433893477
1.0,1.0,0.1,411731.1521246674,1385299212.9161375,0.7,0.00025657256705904034,807277493.1738088,207178.41505037976,807484671.5888592,0.09090935573617462,0.13852992129161373,1.1763747203561927e-05,0.0008333333333333333,0.13937501837215063
1.25,1.0,0.1,414650.32714834466,1370143215.4636753,0.875,0.00026187729129648405,802137422.2710457,210116.60015799126,802347538.8712037,0.11363670798952627,0.1370143215463675,1.1847152204238418e-05,0.0010416666666666669,0.1380678353652384
1.5,1.0,0.1,418206.05820425815,1351813569.47686,1.0499999999999998,0.0002684807059664148,795839343.7912598,213724.8898662396,796053068.681126,0.13636383593929274,0.135181356947686,1.1948744520121662e-05,0.0012499999999999998,0.1364433056922061
1.75,1.0,0.1,422390.3727759931,1330425086.351544,1.2249999999999999,0.0002764575425285624,788375134.6079248,218012.52351082175,788593147.1314356,0.15909135499940052,0.13304250863515438,1.2068296365028374e-05,0.0014583333333333334,0.13451291026485274
2.0,1.0,0.1,427193.18973979435,1306111983.6412435,1.4,0.00028589854477180035,779736745.3806918,222989.3531410022,779959734.7338327,0.1818186031784427,0.13061119836412433,1.2205519706851269e-05,0.0016666666666666666,0.13229007055049785
2.25,1.0,0.1,432602.00542523956,1279026237.3719704,1.575,0.0002969120396458774,769916549.5982867,228665.38660467684,770145214.9848914,0.20454593663579387,0.12790262373719705,1.2360057297863989e-05,0.001875,0.1297899837944949
2.5,1.0,0.1,438601.60096982325,1249337154.7127934,1.75,0.0003096256168928472,758908070.9915034,235050.15719562734,759143121.1486989,0.2272732914546817,0.12493371547127934,1.2531474313423521e-05,0.0020833333333333337,0.12702958027892608
2.75,1.0,0.1,445173.87711322744,1217229623.9717777,1.9249999999999998,0.00032418817667453323,746707085.3226463,242152.11135216095,746949237.4339985,0.2500007860921152,0.12172296239717777,1.27192536318065e-05,0.0022916666666666667,0.12402734831747624
3.0,1.0,0.1,452297.22486206924,1182904435.6862082,2.0999999999999996,0.00034077129303866123,733313718.7641097,249977.4492848582,733563696.2133946,0.2727279084330544,0.11829044356862081,1.292277785320198e-05,0.0024999999999999996,0.12080336634647401
3.25,1.0,0.1,459946.32492792746,1146575023.2312045,2.275,0.0003595730272525694,718731889.6326793,258529.56159527923,718990419.1942747,0.29545537240016095,0.11465750232312044,1.3141323569369357e-05,0.0027083333333333334,0.11737897698002314
3.5,1.0,0.1,468092.19464777753,1108466294.5706987,2.4499999999999997,0.0003808204710148312,702972016.044777,267808.121075227,703239824.1658523,0.31818222523866074,0.11084662945706987,1.3374062704222217e-05,0.002916666666666667,0.11377667018644076
3.75,1.0,0.1,476701.5348698704,1068812794.4180297,2.625,0.00040477341284192583,686051657.4205204,277807.92001986474,686329465.3405403,0.34090988152763857,0.10688127944180296,1.362004385342487e-05,0.003125,0.1100198994856564
4.0,1.0,0.1,485736.4161867931,1027859795.0875405,2.8,0.0004317265684730595,667998571.8729572,288517.2917599329,668287089.1647172,0.36363736346021064,0.10278597950875405,1.387818331962266e-05,0.003333333333333333,0.106133191025407
4.25,1.0,0.1,495155.17617962306,985854460.0361817,2.9749999999999996,0.00046201794337895753,648849294.6350877,299918.58443775354,649149213.2195255,0.3863643803802307,0.09858544600361815,1.414729074798923e-05,0.0035416666666666665,0.10214125996103281
4.5,1.0,0.1,504911.2303473475,943051231.1084876,3.15,0.0004960295806687297,628653535.3498054,311985.503563986,628965520.8533694,0.40909204383468467,0.09430512311084875,1.4426035152781358e-05,0.00375,0.09806954914600154
4.75,1.0,0.1,514954.9819483787,899701457.191458,3.3249999999999997,0.0005341982914779749,607472723.0531234,324684.3365923288,607797407.3897157,0.43181915566268014,0.08997014571914579,1.4712999484239393e-05,0.003958333333333334,0.09394319205196336
5.0,1.0,0.1,525231.8438338028,856058920.2466844,3.5,0.0005770173670448374,585382729.5961012,337971.0164911355,585720700.6125923,0.45454641505768745,0.08560589202466844,1.5006624109537224e-05,0.0041666666666666675,0.08978756531544464
5.25,1.0,0.1,535683.9821251135,812374665.191172,3.675,0.0006250430296851885,562475859.0124526,351791.49986681656,562827650.5123194,0.4772740784850432,0.0812374665191172,1.53052566321461e-05,0.0043749999999999995,0.08562777177574935
5.5,1.0,0.1,546252.4268530186,768885828.8876752,3.8499999999999996,0.0006789142254063548,538854276.8504663,366084.37386395095,539220361.2243302,0.5000011783422974,0.07688858288876751,1.560721219580053e-05,0.004583333333333333,0.08148752343429665
5.75,1.0,0.1,556874.993503715,725826317.9347169,4.0249999999999995,0.0007393452214328196,514638331.37340724,380776.9166608537,515019108.2900681,0.5227281222507048,0.07258263179347169,1.5910714100106147e-05,0.004791666666666666,0.07739020917423846
6.0,1.0,0.1,567488.0399639988,683418047.9945389,4.199999999999999,0.0008071442144183173,489959600.30165565,395787.5142844863,490355387.81594014,0.5454560740954254,0.06834180479945388,1.6213943998971398e-05,0.004999999999999999,0.07335801874345287
6.25,1.0,0.1,578030.1304048023,641861539.9277029,4.375,0.000883232813480204,464958474.26739275,411029.6162230127,465369503.8836158,0.5681828496951248,0.06418615399277029,1.6515146582994353e-05,0.005208333333333333,0.06941100247268661
6.5,1.0,0.1,588438.8723831705,601345725.669002,4.55,0.0009686419648825865,439786078.754638,426408.28841523326,440212487.04305327,0.5909103746008041,0.060134572566900205,1.681253921094773e-05,0.005416666666666667,0.06556805177277782
6.75,1.0,0.1,598654.9948060964,562037607.6966227,4.725,0.0010645396217491415,414597376.88702023,441825.67570719117,415039202.5627274,0.6136381979947907,0.05620376076966227,1.7104428423031325e-05,0.005625,0.0618458651980853
7.0,1.0,0.1,608622.95758555,524081566.42326534,4.8999999999999995,0.0011722454288285815,389548646.2664262,457182.5500466125,390005828.8164728,0.6363650289846575,0.05240815664232654,1.7389227359587143e-05,0.005833333333333334,0.05825887920301946
7.25,1.0,0.1,618289.0665786831,487606535.38135,5.074999999999999,0.001293223108195472,364798532.35743296,472376.7804486771,365270909.13788164,0.6590923275093916,0.04876065353813499,1.766540190224809e-05,0.006041666666666666,0.054819985606703904
7.5,1.0,0.1,627607.1220144314,452710504.64003253,5.25,0.0014291398319671769,340495595.99030805,487312.25619508675,340982908.2465031,0.681819578817079,0.045271050464003246,1.7931632057555184e-05,0.00625,0.0515389820960608
7.75,1.0,0.1,636536.1325931628,419469285.0644587,5.425,0.0015818699447664945,316779104.5583,501897.28085476183,317281001.8391548,0.7045470774743288,0.041946928506445866,1.818674664551894e-05,0.006458333333333333,0.04842344858642472
