q,tau,delta,AUC_R,AUC_N,Dose,rho_T,S_T,R_T,N_T,A_max,J_N,J_R,J_D,J
0.0,0.5,0.1,406520.756341026,1412601383.2071235,0.0,0.0002473559298121047,816385237.6134119,201987.6923882028,816587225.3058001,0.0,0.14126013832071235,1.1614878752600743e-05,0.0,0.14127175319946494
0.5,0.5,0.1,410077.6775350295,1393663322.727757,0.7000000000000002,0.0002539686394411264,809232006.9800923,205571.7605852895,809437578.7406776,0.05560383555676453,0.13936633227277567,1.1716505072429414e-05,0.0008333333333333336,0.14021138211118142
1.0,0.5,0.1,420726.9960983212,1337893291.0655572,1.4000000000000004,0.00027478161511608923,787667599.8866243,216496.06440970497,787884095.9510341,0.11120773510525667,0.13378932910655572,1.2020771317094892e-05,0.0016666666666666672,0.1354680165445395
1.5,0.5,0.1,438362.52529709483,1248415165.7692082,2.1000000000000005,0.0003129443626452958,751437569.4508767,235231.76569452402,751672801.2165712,0.16681127101125956,0.12484151657692082,1.2524643579916995e-05,0.002500000000000001,0.12735404122050073
2.0,0.5,0.1,462676.18921421753,1130434797.3205209,2.8000000000000007,0.00037451982630956,700354033.3516856,262394.7429596309,700616428.0946453,0.22241547192515046,0.11304347973205209,1.3219319691834788e-05,0.0033333333333333344,0.11639003238507727
2.5,0.5,0.1,492975.6969967689,991160675.5500128,3.500000000000001,0.00046996940388194925,634718393.5992514,298438.48202824284,635016832.0812796,0.27801893185016174,0.09911606755500127,1.4085019914193397e-05,0.0041666666666666675,0.10329681924158213
3.0,0.5,0.1,527985.3948987421,839539824.302001,4.200000000000001,0.0006168358380584134,555991197.114256,343166.9737128968,556334364.087969,0.3336231563532959,0.0839539824302001,1.5085296997106916e-05,0.005000000000000002,0.0889690677271972
3.5,0.5,0.1,565731.8603229577,685612687.541381,4.900000000000001,0.0008444767832036,467533055.3615103,395154.5094420408,467928209.8709523,0.3892275016742161,0.0685612687541381,1.6163767437798793e-05,0.005833333333333335,0.07441076585490922
4.0,0.5,0.1,603644.881710989,539365646.7850016,5.600000000000001,0.0012022557113870375,374974146.7041971,451357.45657764946,375425504.16077477,0.4448307227607842,0.05393656467850016,1.7246996620313972e-05,0.006666666666666669,0.06062047834178714
4.5,0.5,0.1,638962.6264254055,409187859.0384034,6.300000000000002,0.001773558501380733,285556313.32904065,507350.6431740427,286063663.9722147,0.5004333715754372,0.040918785903840335,1.8256075040725874e-05,0.007500000000000002,0.04843704197888106
5.0,0.5,0.1,669336.4874604964,300415428.0473463,7.000000000000002,0.0026994942810857777,206287524.1289721,558379.333462864,206845903.46243498,0.5560380980846732,0.030041542804734627,1.912389964172847e-05,0.008333333333333335,0.038394000037709694
5.5,0.5,0.1,693344.4449957149,214717956.86936495,7.700000000000002,0.004217927736875712,141828672.87699795,600757.0430069843,142429429.92000493,0.6116414970069173,0.021471795686936492,1.980984128559186e-05,0.00916666666666667,0.030658272194888755
6.0,0.5,0.1,710652.9319824146,150550618.61784676,8.400000000000002,0.006727248439302503,93430241.9333372,632785.3535115218,94063027.28684872,0.667245414180918,0.015055061861784675,2.0304369485211846e-05,0.010000000000000004,0.02507536623126989
6.5,0.5,0.1,721791.4072569689,104431053.0450948,9.100000000000001,0.010886420814081777,59484419.99880065,654699.7651387062,60139119.76393936,0.72284788378193,0.01044310530450948,2.06226116359134e-05,0.010833333333333335,0.02129706124947873
7.0,0.5,0.1,727751.2547261465,72265998.73046088,9.800000000000002,0.017764812899694643,36931956.384125784,667955.397851857,37599911.78197764,0.7784518599908594,0.007226599873046087,2.0792892992175614e-05,0.01166666666666667,0.01891405943270493
7.5,0.5,0.1,729632.8011703143,50271011.2105536,10.500000000000004,0.02904908146070511,22542528.580391947,674431.3605956768,23216959.940987624,0.8340571975457415,0.00502710112105536,2.0846651462008982e-05,0.012500000000000006,0.017547947772517374
8.0,0.5,0.1,728424.1144020818,35390896.37615508,11.200000000000003,0.04727994681529786,13619620.606779894,675891.0298786894,14295511.636658583,0.8896616315822652,0.0035390896376155077,2.0812117554345198e-05,0.013333333333333338,0.01689323508850319
8.5,0.5,0.1,724922.4579210514,25354829.8948146,11.900000000000002,0.07602093951830165,8189065.3113930095,673760.3322138933,8862825.643606903,0.9452651458822046,0.00253548298948146,2.0712070226315754e-05,0.01416666666666667,0.016722861726374445
9.0,0.5,0.1,719727.658025834,18565225.096545085,12.600000000000003,0.11969717334655744,4920797.287350613,669094.2117571497,5589891.499107762,1.0008678413966527,0.0018565225096545085,2.056364737216669e-05,0.015000000000000005,0.01687708615702668
9.5,0.5,0.1,713273.7199513325,13935371.745146846,13.300000000000004,0.18267912793930802,2964682.371293354,662635.2130705075,3627317.5843638615,1.0564718526220003,0.0013935371745146846,2.0379249141466646e-05,0.015833333333333338,0.01724724975698949
10.0,0.5,0.1,705870.7141066135,10740961.345005784,14.000000000000004,0.2672865125582484,1795263.0369502746,654893.9039549417,2450156.940905216,1.1120767123212656,0.0010740961345005783,2.016773468876039e-05,0.01666666666666667,0.01776093053585601
10.5,0.5,0.1,697737.1357228846,8504292.693404628,14.700000000000003,0.37119282883445803,1094701.9887250252,646216.4341611383,1740918.4228861635,1.167681934458341,0.0008504292693404627,1.993534673493956e-05,0.017500000000000005,0.018370364616075406
11.0,0.5,0.1,689030.1031913521,6911752.086021846,15.400000000000004,0.4861365689784695,673162.7956208406,636840.5145634087,1310003.3101842492,1.223284201458228,0.0006911752086021846,1.9686574376895775e-05,0.01833333333333334,0.01904419511631242
11.5,0.5,0.1,679862.1999946994,5756794.955179615,16.100000000000005,0.6000370063246365,417888.38414938765,626929.2383743944,1044817.6225237821,1.2788887229603076,0.0005756794955179615,1.9424634285562843e-05,0.019166666666666672,0.019761770796470197
12.0,0.5,0.1,670317.3236177046,4902868.960531769,16.800000000000004,0.7017275024311619,262088.2600591015,616599.0550481664,878687.3151072679,1.3344916747894544,0.0004902868960531769,1.9151923531934416e-05,0.020000000000000007,0.02050943881958512
0.0,0.6,0.1,406520.756341026,1412601383.2071235,0.0,0.0002473559298121047,816385237.6134119,201987.6923882028,816587225.3058001,0.0,0.14126013832071235,1.1614878752600743e-05,0.0,0.14127175319946494
0.5,0.6,0.1,409166.491205479,1398514062.4784653,0.6000000000000001,0.00025233166078737686,810818946.9069977,204646.93037073014,811023593.8373684,0.051751349544142525,0.1398514062478465,1.1690471177299402e-05,0.0007142857142857144,0.14057738243330953
1.0,0.6,0.1,417087.4497555615,1356856727.193561,1.2000000000000002,0.000267798300029828,794097967.6386036,212715.05051967935,794310682.6891233,0.10350262943082159,0.13568567271935608,1.191678427873033e-05,0.0014285714285714288,0.13712616093220623
1.5,0.6,0.1,430217.4421179486,1289426793.1816542,1.8000000000000003,0.00029546420366863307,766177153.2915627,226444.8288074102,766403598.12037,0.1552541262526319,0.12894267931816542,1.2291926917655676e-05,0.0021428571428571434,0.1310978283879402
2.0,0.6,0.1,448393.1872541917,1199203349.5549726,2.4000000000000004,0.0003384909806208276,727068609.4846829,246189.4995282057,727314798.9842111,0.20700546920695723,0.11992033495549727,1.2811233921548335e-05,0.0028571428571428576,0.12279028904656168
2.5,0.6,0.1,471279.9688084908,1090296890.3263674,3.0000000000000004,0.0004020371647933308,676992527.2110823,272285.6251669715,677264812.8362494,0.25875678566490196,0.10902968903263673,1.3465141965956881e-05,0.0035714285714285718,0.11261458274603126
3.0,0.6,0.1,498281.9851329915,967844291.951012,3.6000000000000005,0.0004941744027891798,616616475.3890414,304866.73581244895,616921342.1248538,0.310507562704306,0.09678442919510119,1.42366281466569e-05,0.004285714285714287,0.10108438010896213
3.5,0.6,0.1,528464.252567963,837788162.5945448,4.200000000000001,0.0006273812941781508,547356887.0506793,343617.05108539073,547700504.1017647,0.36225974562093055,0.08377881625945448,1.5098978644798942e-05,0.005000000000000002,0.08879391523809928
4.0,0.6,0.1,560523.9123592852,706510676.4752816,4.800000000000001,0.00082091113512151,471665850.27547455,387513.86299283674,472053364.1384674,0.41401070696740855,0.07065106764752815,1.6014968924551005e-05,0.005714285714285715,0.07638136833073841
4.5,0.6,0.1,592862.8609144913,580245286.1252897,5.4,0.0011045582415512754,393105008.11232936,434687.5141818434,393539695.6265112,0.4657612491541268,0.058024528612528964,1.6938938883271184e-05,0.006428571428571429,0.06447003897998366
5.0,0.6,0.1,623768.520607522,464397829.6190855,6.000000000000001,0.0015244816223619155,316032049.1778,482520.64490450034,316514569.8227045,0.5175135986349975,0.046439782961908545,1.7821957731643487e-05,0.0071428571428571435,0.053600462062497335
5.5,0.6,0.1,651681.4479092762,362873021.26975423,6.600000000000001,0.0021521906192598383,244837100.24825156,528072.6233473236,245365172.87159887,0.5692645204343982,0.036287302126975424,1.8619469940265036e-05,0.00785714285714286,0.04416306445405855
6.0,0.6,0.1,675452.6257441574,277680787.1675597,7.200000000000001,0.0030981188674192722,182994389.61083117,568700.2721281761,183563089.88295934,0.6210156131800478,0.027768078716755965,1.929864644983307e-05,0.008571428571428574,0.03635880593463437
6.5,0.6,0.1,694489.3306682819,208951727.08505523,7.800000000000001,0.0045319802031985445,132364864.08759469,602605.9418428065,132967470.0294375,0.6727662835538164,0.020895172708505518,1.9842552304808056e-05,0.009285714285714288,0.030200729546524613
7.0,0.6,0.1,708740.852731423,155356005.20204723,8.400000000000002,0.006712190901246339,93090362.54313053,629062.6732071383,93719425.21633767,0.7245184805405223,0.015535600520204723,2.0249738649469232e-05,0.010000000000000004,0.025555850258854197
7.5,0.6,0.1,718569.2124887903,114697929.67045449,9.000000000000002,0.010028093989121587,63999662.203881204,648295.799058262,64647958.00293946,0.7762696403600794,0.011469792967045448,2.0530548928251153e-05,0.010714285714285718,0.022204609230259416
8.0,0.6,0.1,724567.9352214544,84493897.94035074,9.600000000000001,0.015057678792901949,43246548.51354508,661147.990494045,43907696.50403912,0.8280214709646277,0.008449389794035074,2.070194100632727e-05,0.01142857142857143,0.019898663163612832
8.5,0.6,0.1,727401.0059688389,62383857.73450884,10.200000000000001,0.022640974561221477,28867219.59400092,668722.5139068501,29535942.107907772,0.8797714251251928,0.006238385773450883,2.0782885884823972e-05,0.012142857142857146,0.018402025802192853
