Escenario,t,S,R,A
Sin tratamiento,0.0,1000000.0000000001,1000.0,0.0
Sin tratamiento,0.0033333333333333335,1004004.117341088,1003.1686154136338,0.0
Sin tratamiento,0.006666666666666667,1008024.1404537503,1006.3471876061478,0.0
Sin tratamiento,0.01,1012060.236199174,1009.5358147926137,0.0
Sin tratamiento,0.013333333333333334,1016112.4822240012,1012.7345353775811,0.0
Sin tratamiento,0.016666666666666666,1020180.9312128662,1015.9433753772539,0.0
Sin tratamiento,0.02,1024265.6578182016,1019.1623716544221,0.0
Sin tratamiento,0.023333333333333334,1028366.6880050622,1022.3915369736073,0.0
Sin tratamiento,0.02666666666666667,1032484.1034491105,1025.630911562167,0.0
Sin tratamiento,0.030000000000000002,1036617.9833731728,1028.8805344891762,0.0
Sin tratamiento,0.03333333333333333,1040768.4069414006,1032.1404447949476,0.0
Sin tratamiento,0.03666666666666667,1044935.4503517962,1035.4106800253846,0.0
Sin tratamiento,0.04,1049119.1653208667,1038.691265392094,0.0
Sin tratamiento,0.043333333333333335,1053319.613962612,1041.9822313451596,0.0
Sin tratamiento,0.04666666666666667,1057536.8625735529,1045.2836104419073,0.0
Sin tratamiento,0.05,1061770.9774502106,1048.5954352396645,0.0
Sin tratamiento,0.05333333333333334,1066022.0262080077,1051.9177388058988,0.0
Sin tratamiento,0.05666666666666667,1070290.0775446817,1055.2505546267046,0.0
Sin tratamiento,0.060000000000000005,1074575.1989298773,1058.5939157131643,0.0
Sin tratamiento,0.06333333333333334,1078877.4578283357,1061.9478550744611,0.0
Sin tratamiento,0.06666666666666667,1083196.9219855147,1065.3124058278338,0.0
Sin tratamiento,0.07,1087533.661463807,1068.6876019823605,0.0
Sin tratamiento,0.07333333333333333,1091887.7453415843,1072.073477168349,0.0
Sin tratamiento,0.07666666666666667,1096259.242301383,1075.4700648637393,0.0
Sin tratamiento,0.08,1100648.2210257398,1078.8773985464723,0.0
Sin tratamiento,0.08333333333333334,1105054.7510369888,1082.2955120165927,0.0
Sin tratamiento,0.08666666666666667,1109478.9029518946,1085.7244394940687,0.0
Sin tratamiento,0.09000000000000001,1113920.747206257,1089.1642151298179,0.0
Sin tratamiento,0.09333333333333334,1118380.3547328112,1092.6148732657248,0.0
Sin tratamiento,0.09666666666666668,1122857.79683936,1096.076448387382,0.0
Sin tratamiento,0.1,1127353.1441912092,1099.5489747295742,0.0
Sin tratamiento,0.10333333333333335,1131866.4681072657,1103.032486778782,0.0
Sin tratamiento,0.10666666666666667,1136397.8403948983,1106.5270192091557,0.0
Sin tratamiento,0.11,1140947.3331866208,1110.0326068191978,0.0
Sin tratamiento,0.11333333333333334,1145515.0187930185,1113.549284473724,0.0
Sin tratamiento,0.11666666666666667,1150100.9696781244,1117.0770870941458,0.0
Sin tratamiento,0.12000000000000001,1154705.2587085036,1120.6160497567653,0.0
Sin tratamiento,0.12333333333333334,1159327.959035814,1124.1662076464308,0.0
Sin tratamiento,0.12666666666666668,1163969.1440999664,1127.7275960574239,0.0
Sin tratamiento,0.13,1168628.8876590526,1131.3002504023311,0.0
Sin tratamiento,0.13333333333333333,1173307.2637512258,1134.8842062007438,0.0
Sin tratamiento,0.1366666666666667,1178004.3466995563,1138.4794990806988,0.0
Sin tratamiento,0.14,1182720.2111168366,1142.086164780099,0.0
Sin tratamiento,0.14333333333333334,1187454.9319243145,1145.7042391522693,0.0
Sin tratamiento,0.14666666666666667,1192208.5843548307,1149.333758166882,0.0
Sin tratamiento,0.15000000000000002,1196981.24392109,1152.9747579005577,0.0
Sin tratamiento,0.15333333333333335,1201772.9864306191,1156.6272745412966,0.0
Sin tratamiento,0.15666666666666668,1206583.88798859,1160.291344389311,0.0
Sin tratamiento,0.16,1211414.0250221817,1163.9670038642043,0.0
Sin tratamiento,0.16333333333333333,1216263.4742561572,1167.6542894977756,0.0
Sin tratamiento,0.16666666666666669,1221132.3127175453,1171.353237935399,0.0
Sin tratamiento,0.17,1226020.6177413436,1175.0638859377086,0.0
Sin tratamiento,0.17333333333333334,1230928.4669663296,1178.7862703793326,0.0
Sin tratamiento,0.17666666666666667,1235855.938334583,1182.520428248743,0.0
Sin tratamiento,0.18000000000000002,1240803.110103766,1186.2663966519226,0.0
Sin tratamiento,0.18333333333333335,1245770.060844224,1190.0242128114908,0.0
Sin tratamiento,0.18666666666666668,1250756.869439477,1193.7939140668377,0.0
Sin tratamiento,0.19,1255763.6150769538,1197.5755378713498,0.0
Sin tratamiento,0.19333333333333336,1260790.3772610787,1201.3691217963124,0.0
Sin tratamiento,0.19666666666666668,1265837.235813394,1205.1747035309384,0.0
Sin tratamiento,0.2,1270904.2708722549,1208.9923208822704,0.0
Sin tratamiento,0.20333333333333334,1275991.5628937448,1212.8220117754245,0.0
Sin tratamiento,0.2066666666666667,1281099.192652783,1216.6638142539068,0.0
Sin tratamiento,0.21000000000000002,1286227.241244914,1220.5177664801693,0.0
Sin tratamiento,0.21333333333333335,1291375.7900872878,1224.3839067358806,0.0
Sin tratamiento,0.21666666666666667,1296544.920919943,1228.2622734222946,0.0
Sin tratamiento,0.22,1301734.715807511,1232.1529050607132,0.0
Sin tratamiento,0.22333333333333336,1306945.2571399568,1236.055840292738,0.0
Sin tratamiento,0.22666666666666668,1312176.6276338794,1239.9711178806408,0.0
Sin tratamiento,0.23,1317428.9103338276,1243.8987767077433,0.0
Sin tratamiento,0.23333333333333334,1322702.1886138306,1247.8388557788412,0.0
Sin tratamiento,0.2366666666666667,1327996.546178766,1251.7913942205905,0.0
Sin tratamiento,0.24000000000000002,1333312.0670651798,1255.7564312817776,0.0
Sin tratamiento,0.24333333333333335,1338648.835642761,1259.7340063337292,0.0
Sin tratamiento,0.24666666666666667,1344006.936615658,1263.7241588706918,0.0
Sin tratamiento,0.25,1349386.455024162,1267.7269285102868,0.0
Sin tratamiento,0.25333333333333335,1354787.4762456396,1271.7423549938046,0.0
Sin tratamiento,0.2566666666666667,1360210.085995886,1275.7704781865896,0.0
Sin tratamiento,0.26,1365654.3703305114,1279.8113380784325,0.0
